,0
889,一摘，一采，一敲，一带，满满都是爱啊
890,我也没爷爷了……
891,啥是大爱
892,我没见过我爷爷啊
893,从liulangdjqiu
894,从流浪地球计划开始的第一天起，jiuzaiyehuubuq
895,泪目
896,感动
897,喜之郎果冻
898,泪目，小时在农村没啥玩具，爷爷就用乌龟壳和两个螺丝帽做成拨浪鼓给我玩。
899,泪目
900,组团要爷爷12/10
901,看了想打死他孙子系列
902,爷爷，我要言和！
903,爷爷今天要把你刷成红的
904,爷爷，我要个傻大白
905,爷爷，我要个傻大白
906,修罗铠甲……………………………………………………………………合体
907,佩奇战损版
908,帅气哦，眼泪出来了
909,万物皆虚
910,张家口怀来-北京延庆之间
911,张家口怀来地区的
912,张家口的
913,张家口怀来地区
914,张家口
915,这是怀来地区的
916,山东人是张家口的儿子？
917,熊孩子
918,又心酸……又想笑
919,猪：我jio得布星
920,阖家欢喜
921,我想知道那个视频彩铃培训到底有没有人去学
922,我也要组成弹幕
923,铁二中写观后感的路过
924,标准甲方
925,我不用爷爷帮我做这些，但是希望他身体恢复成以前那样……
926,什么？二刺猿！
927,烟台口音哈哈哈
928,歌曲名：Gangsta Symphony，歌手名：Philip Guyler，专辑名：Gangsta Symphony
929,爷爷我要卡米尔
930,天天？！跟谁天天？！
931,熊孩子
932,大♂为啊
933,好优秀啊
934,傲娇哈哈哈
935,nb
936,听听，这是人说的话吗
937,爷孙代沟
938,小孩好没礼貌
939,这个大爷人真好，没忘记
940,妈呀我哭了
941,弹幕呢？
942,合影
943,我们政治考试，惊了
944,首尾呼应
945,1001
946,RTX2080ti
947,如果这帮小孩告诉了他，也就没有后面的事情了
948,别给老人开这种玩笑
949,钢铁：佩奇
950,忙，都忙，忙点好啊
951,爷爷，我要凉宫春日
952,心疼爷爷
953,爷爷，我要清泉流响
954,过于硬核
955,又想笑又心酸
956,开门查水表
957,佟dark为
958,为了孙子啊。。
959,心疼的 牙齿都在打战
960,合影
961,泪目
962,合影
963,完了，
964,就是你了，
965,扎实，
966,合影留念
967,马飞飞！
968,爷爷：你可闭嘴吧
969,美国进口猪
970,不是因为英语作业，我也不会点开
971,这地方为什么老想哭
972,又多了一个作业
973,心酸
974,为什么一会普通一会方言
975,河南话也很像
976,蒸汽朋克
977,《亮剑》取景地 牛逼
978,6666666666666666666666666666666666666666666666
979,南村群童欺我老无力
980,不懂装懂2333
981,濮阳的
982,河北怀来县外沟村
983,大一要写观后感，懵了
984,蒸汽朋克佩奇
985,然而吹唢呐的早已看穿一切
986,小爱同学你干嘛给我放这个啊
987,像亮剑+1
988,中移动定制广告
989,rtx2080ti
990,太硬核了
991,蒸汽朋克
992,孙子这笑容哈哈哈
993,Stand by
994,电视……
995,我要狂三
996,rtx2080ti
997,ps4
998,iPad
999,这叫风鼓子
